$Date;$Time;FH11_Z4_TEMP_SP;FH11_Z4_TEMP_PV;FH11_Z3_TEMP_PV;FH11_Z3_TEMP_MT;FH11_Z3_TEMP_MB;FH11_Z4_TEMP_MB;FH11_Z4_TEMP_MM;FH11_Z4_TEMP_MT;FH11_Z4_MIX_VLV_POS_PV;FH11_Z4_MIX_PRES_PV;FH11_Z4_MIX_PRES_LL;FH11_Z4_MIX_PRES_HL;FH11_PULL
04/23/18;09:57:38;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.116898;0.6;6;55.42502
04/23/18;09:57:39;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.119792;0.6;6;55.42502
04/23/18;09:57:40;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.140046;0.6;6;55.42502
04/23/18;09:57:41;1155;1154.774;1162.008;1162.008;1160.561;1155.498;1154.919;1154.774;23.40856;1.131366;0.6;6;55.42502
04/23/18;09:57:42;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.128472;0.6;6;55.42502
04/23/18;09:57:43;1155;1154.774;1162.008;1162.008;1160.561;1155.498;1154.919;1154.774;23.40856;1.131366;0.6;6;55.42502
04/23/18;09:57:44;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.125579;0.6;6;55.42502
04/23/18;09:57:45;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.134259;0.6;6;55.42502
04/23/18;09:57:46;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.140046;0.6;6;55.42502
04/23/18;09:57:47;1155;1154.774;1162.008;1162.008;1160.561;1155.498;1154.919;1154.774;23.40856;1.128472;0.6;6;55.42502
04/23/18;09:57:48;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.145833;0.6;6;55.42502
04/23/18;09:57:49;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.125579;0.6;6;55.42502
04/23/18;09:57:50;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.125579;0.6;6;55.42502
04/23/18;09:57:51;1155;1154.774;1162.008;1162.008;1160.561;1155.498;1154.919;1154.774;23.40856;1.145833;0.6;6;55.42502
04/23/18;09:57:52;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.140046;0.6;6;55.42502
04/23/18;09:57:53;1155;1154.774;1162.008;1162.008;1160.561;1155.498;1154.919;1154.774;23.40856;1.125579;0.6;6;55.42502
04/23/18;09:57:54;1155;1154.774;1162.008;1162.008;1160.561;1155.498;1154.919;1154.774;23.40856;1.134259;0.6;6;55.42502
04/23/18;09:57:55;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.128472;0.6;6;55.42502
04/23/18;09:57:56;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.131366;0.6;6;55.42502
04/23/18;09:57:57;1155;1154.774;1162.008;1162.008;1160.561;1155.498;1154.919;1154.774;23.40856;1.128472;0.6;6;55.42502
04/23/18;09:57:58;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.128472;0.6;6;55.42502
04/23/18;09:57:59;1155;1154.774;1162.008;1162.008;1160.561;1155.498;1154.919;1154.774;23.40856;1.128472;0.6;6;55.42502
04/23/18;09:58:00;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.140046;0.6;6;55.42502
04/23/18;09:58:01;1155;1154.774;1162.008;1162.008;1160.706;1155.353;1154.919;1154.774;23.40856;1.140046;0.6;6;55.42502
04/23/18;09:58:02;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.128472;0.6;6;55.42502
04/23/18;09:58:03;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.128472;0.6;6;55.42502
04/23/18;09:58:04;1155;1154.774;1161.863;1161.863;1160.561;1155.353;1154.919;1154.774;23.40856;1.140046;0.6;6;55.42502
04/23/18;09:58:05;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.128472;0.6;6;55.42502
04/23/18;09:58:06;1155;1154.774;1162.008;1162.008;1160.561;1155.353;1154.919;1154.774;23.40856;1.134259;0.6;6;55.42502
