$Date;$Time;FH11_Z2C_TEMP_SP;FH11_Z2C_TEMP_PV;FH11_Z1C_TEMP_PV;FH11_Z3_TEMP_PV;FH11_Z2_TEMP_LT;FH11_Z2_TEMP_RT;FH11_PULL;FH11_Z2L_MIX_VLV_POS_PV;FH11_Z2R_MIX_VLV_POS_PV;FH11_Z2L_MIX_PRES_PV;FH11_Z2R_MIX_PRES_PV;FH11_Z2_CLN_VLV_POS_PV;FH11_Z2_WG_DMP_POS_PV
08/17/17;10:34:58;1167;1165.046;1177.85;1159.693;1170.833;1170.833;46.01521;29.25347;19.2419;1.247106;1.145833;16.17477;4.298942
08/17/17;10:34:59;1167;1165.046;1177.85;1159.693;1170.833;1170.833;46.01521;29.25347;19.2419;1.247106;1.145833;16.17477;4.298942
08/17/17;10:35:00;1167;1165.046;1177.922;1159.693;1170.833;1170.833;46.01521;29.25347;18.98148;1.255787;1.125579;16.17477;4.298942
08/17/17;10:35:01;1167;1165.046;1177.85;1159.693;1170.833;1170.689;46.01521;29.25347;18.98148;1.25;1.125579;16.17477;4.21627
08/17/17;10:35:02;1167;1165.046;1177.85;1159.549;1171.123;1170.833;46.01521;29.25347;18.98148;1.261574;1.105324;16.2037;4.21627
08/17/17;10:35:03;1167;1165.046;1177.922;1159.549;1170.833;1170.833;46.01521;29.25347;18.98148;1.255787;1.125579;16.2037;4.21627
08/17/17;10:35:04;1167;1165.046;1177.922;1159.549;1170.833;1170.833;46.01521;29.25347;18.98148;1.255787;1.119792;16.17477;4.21627
08/17/17;10:35:05;1167;1165.046;1177.922;1159.549;1170.833;1170.833;46.01521;29.25347;18.98148;1.247106;1.125579;16.17477;4.21627
08/17/17;10:35:06;1167;1165.046;1177.995;1159.549;1171.123;1170.833;46.01521;29.25347;18.98148;1.25;1.140046;16.2037;4.298942
08/17/17;10:35:07;1167;1165.046;1177.995;1159.549;1170.833;1170.833;46.01521;29.25347;18.66319;1.247106;1.087963;16.17477;4.21627
08/17/17;10:35:08;1167;1165.046;1177.995;1159.549;1170.833;1170.833;46.01521;29.25347;18.66319;1.25;1.073495;16.2037;4.21627
08/17/17;10:35:09;1167;1165.336;1177.995;1159.549;1171.123;1170.833;46.01521;29.25347;18.66319;1.255787;1.067708;16.17477;4.21627
08/17/17;10:35:10;1167;1165.336;1177.995;1159.549;1171.123;1170.833;46.01521;29.25347;18.66319;1.255787;1.085069;16.2037;4.21627
08/17/17;10:35:11;1167;1165.336;1177.995;1159.549;1171.123;1170.833;46.01521;29.13773;18.66319;1.247106;1.076389;16.2037;4.21627
08/17/17;10:35:12;1167;1165.336;1178.067;1159.549;1170.833;1170.833;46.01521;28.81944;18.66319;1.25;1.073495;16.2037;4.298942
08/17/17;10:35:13;1167;1165.046;1178.067;1159.549;1170.833;1170.833;46.01521;28.81944;18.66319;1.247106;1.070602;16.2037;4.21627
08/17/17;10:35:14;1167;1165.046;1178.067;1159.549;1170.833;1170.833;46.01521;28.81944;18.66319;1.247106;1.070602;16.2037;4.21627
