$Date;$Time;FH11_Z4_TEMP_SP;FH11_Z4_TEMP_PV;FH11_Z3_TEMP_PV;FH11_Z3_TEMP_MT;FH11_Z3_TEMP_MB;FH11_Z4_TEMP_MB;FH11_Z4_TEMP_MM;FH11_Z4_TEMP_MT;FH11_Z4_MIX_VLV_POS_PV;FH11_Z4_MIX_PRES_PV;FH11_Z4_MIX_PRES_LL;FH11_Z4_MIX_PRES_HL;FH11_PULL;FU_PULL
08/17/17;10:35:43;1157;1155.932;1159.259;1159.259;1163.31;1162.442;1160.561;1155.932;25.14467;1.76794;0.6;6;46.01521;90.89281
08/17/17;10:35:44;1157;1155.932;1159.115;1159.115;1163.31;1162.442;1160.561;1155.932;25.14467;1.750579;0.6;6;46.01521;90.89281
08/17/17;10:35:45;1157;1155.642;1159.259;1159.259;1163.31;1162.442;1160.561;1155.642;25.14467;1.753472;0.6;6;46.01521;90.89281
08/17/17;10:35:46;1157;1155.932;1159.259;1159.259;1163.165;1162.442;1160.561;1155.932;25.14467;1.770833;0.6;6;46.01521;90.89281
08/17/17;10:35:47;1157;1155.932;1159.115;1159.115;1163.165;1162.442;1160.561;1155.932;25.43403;1.811342;0.6;6;46.01521;90.89281
08/17/17;10:35:48;1157;1156.076;1159.115;1159.115;1163.31;1162.442;1160.561;1156.076;25.43403;1.82581;0.6;6;46.01521;90.89281
08/17/17;10:35:49;1157;1155.932;1159.115;1159.115;1163.165;1162.442;1160.561;1155.932;25.43403;1.828704;0.6;6;46.01521;90.89281
08/17/17;10:35:50;1157;1155.932;1159.115;1159.115;1163.165;1162.442;1160.417;1155.932;25.43403;1.82581;0.6;6;46.01521;90.89281
08/17/17;10:35:51;1157;1155.932;1159.115;1159.115;1163.165;1162.442;1160.417;1155.932;25.43403;1.822917;0.6;6;46.01521;90.89281
08/17/17;10:35:52;1157;1155.932;1159.115;1159.115;1163.165;1162.153;1160.417;1155.932;25.43403;1.828704;0.6;6;46.01521;90.89281
08/17/17;10:35:53;1157;1155.932;1159.115;1159.115;1163.165;1162.153;1160.561;1155.932;25.66551;1.854745;0.6;6;46.01521;90.89281
08/17/17;10:35:54;1157;1155.932;1159.115;1159.115;1163.165;1162.153;1160.417;1155.932;25.72338;1.869213;0.6;6;46.01521;90.89281
08/17/17;10:35:55;1157;1155.932;1159.115;1159.115;1163.165;1162.153;1160.417;1155.932;25.66551;1.892361;0.6;6;46.01521;90.89281
08/17/17;10:35:56;1157;1156.076;1159.115;1159.115;1163.165;1162.153;1160.417;1156.076;25.66551;1.892361;0.6;6;46.01521;90.89281
08/17/17;10:35:57;1157;1155.932;1159.115;1159.115;1163.165;1162.153;1160.417;1155.932;25.66551;1.883681;0.6;6;46.01521;90.89281
08/17/17;10:35:58;1157;1156.076;1159.115;1159.115;1163.165;1162.153;1160.417;1156.076;25.66551;1.892361;0.6;6;46.01521;90.89281
08/17/17;10:35:59;1157;1155.932;1159.115;1159.115;1163.165;1162.153;1160.417;1155.932;26.0706;1.938657;0.6;6;46.01521;90.89281
08/17/17;10:36:00;1157;1155.932;1159.115;1159.115;1162.876;1162.008;1160.272;1155.932;26.0706;1.964699;0.6;6;46.01521;90.89281
08/17/17;10:36:01;1157;1156.076;1158.97;1158.97;1163.165;1162.153;1160.417;1156.076;26.0706;1.97338;0.6;6;46.01521;90.89281
08/17/17;10:36:02;1157;1155.932;1159.115;1159.115;1163.165;1162.008;1160.272;1155.932;26.09954;1.956018;0.6;6;46.01521;90.89281
