$Date;$Time;FH11_Z1_TEMP_SP;FH11_Z1_TEMP_PV;WE_ZR_TEMP_PV;FH11_Z2C_TEMP_PV;FH11_Z1_MIX_PRES_PV;FH11_Z1_MIX_VLV_POS_PV;FH11_PULL;FH11_Z1A_CD_POS_PV;FH11_Z1BL_CD_POS_PV;FH11_Z1BR_CD_POS_PV
08/17/17;10:34:24;1176;1175.427;1269.792;1164.902;2.074653;35.47454;46.01521;34.02778;98.64005;1.215279
08/17/17;10:34:25;1176;1175.427;1269.792;1164.902;2.060185;35.47454;46.01521;34.02778;98.64005;1.215279
08/17/17;10:34:26;1176;1175.427;1269.792;1164.902;2.083333;35.47454;46.01521;33.99885;98.64005;1.215279
08/17/17;10:34:27;1176;1175.427;1269.647;1164.902;1.996528;34.60648;46.01521;34.02778;98.64005;1.215279
08/17/17;10:34:28;1176;1175.499;1269.647;1164.902;1.915509;34.43287;46.01521;34.02778;98.64005;1.215279
08/17/17;10:34:29;1176;1175.427;1269.792;1164.902;1.851852;34.14352;46.01521;33.99885;98.64005;1.215279
08/17/17;10:34:30;1176;1175.427;1269.792;1164.902;1.866319;34.14352;46.01521;34.02778;98.64005;1.215279
08/17/17;10:34:31;1176;1175.499;1269.647;1164.902;1.76794;33.47801;46.01521;33.99885;98.64005;1.215279
08/17/17;10:34:32;1176;1175.499;1269.647;1164.902;1.747685;33.47801;46.01521;34.02778;98.64005;1.215279
08/17/17;10:34:33;1176;1175.499;1269.792;1164.902;1.747685;33.47801;46.01521;34.02778;98.64005;1.215279
08/17/17;10:34:34;1176;1175.608;1269.647;1164.902;1.753472;33.47801;46.01521;33.99885;98.64005;1.273155
08/17/17;10:34:35;1176;1175.608;1269.647;1164.902;1.753472;33.44907;46.01521;33.99885;98.64005;1.215279
08/17/17;10:34:36;1176;1175.608;1269.502;1164.902;1.753472;33.47801;46.01521;33.99885;98.64005;1.215279
08/17/17;10:34:37;1176;1175.608;1269.502;1164.902;1.753472;33.47801;46.01521;33.99885;98.64005;1.215279
08/17/17;10:34:38;1176;1175.68;1269.647;1164.902;1.750579;33.47801;46.01521;34.05672;98.64005;1.215279
08/17/17;10:34:39;1176;1175.716;1269.647;1164.902;1.762153;33.47801;46.01521;34.02778;98.64005;1.273155
08/17/17;10:34:40;1176;1175.644;1269.647;1164.902;1.756366;33.47801;46.01521;34.02778;98.64005;1.273155
08/17/17;10:34:41;1176;1175.716;1269.647;1164.902;1.747685;33.47801;46.01521;34.63542;98.64005;1.215279
08/17/17;10:34:42;1176;1175.716;1269.647;1164.902;1.747685;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:34:43;1176;1175.716;1269.647;1164.902;1.762153;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:34:44;1176;1175.716;1269.792;1164.902;1.747685;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:34:45;1176;1175.788;1269.502;1164.902;1.76794;33.47801;46.01521;34.92477;98.64005;1.215279
08/17/17;10:34:46;1176;1175.752;1269.502;1164.902;1.753472;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:34:47;1176;1175.752;1269.502;1164.902;1.753472;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:34:48;1176;1175.788;1269.502;1165.046;1.753472;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:34:49;1176;1175.825;1269.502;1165.046;1.741898;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:34:50;1176;1175.825;1269.502;1165.046;1.741898;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:34:51;1176;1175.861;1269.502;1165.046;1.753472;33.47801;46.01521;34.89584;98.64005;1.273155
08/17/17;10:34:52;1176;1175.861;1269.792;1164.902;1.76794;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:34:53;1176;1175.969;1269.792;1165.046;1.762153;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:34:54;1176;1176.005;1269.792;1165.046;1.741898;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:34:55;1176;1176.005;1269.647;1164.902;1.750579;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:34:56;1176;1176.005;1269.502;1165.046;1.756366;33.44907;46.01521;34.89584;98.64005;1.215279
08/17/17;10:34:57;1176;1176.005;1269.647;1165.046;1.741898;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:34:58;1176;1176.005;1269.502;1165.046;1.753472;33.47801;46.01521;34.89584;98.64005;1.273155
08/17/17;10:34:59;1176;1176.005;1269.502;1165.046;1.753472;33.47801;46.01521;34.89584;98.64005;1.273155
08/17/17;10:35:00;1176;1176.15;1269.647;1165.046;1.750579;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:35:01;1176;1176.078;1269.502;1165.046;1.756366;33.44907;46.01521;34.89584;98.64005;1.215279
08/17/17;10:35:02;1176;1176.15;1269.647;1165.046;1.76794;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:35:03;1176;1176.15;1269.647;1165.046;1.753472;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:35:04;1176;1176.15;1269.647;1165.046;1.765046;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:35:05;1176;1176.15;1269.502;1165.046;1.756366;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:35:06;1176;1176.222;1269.647;1165.046;1.753472;33.44907;46.01521;34.89584;98.64005;1.215279
08/17/17;10:35:07;1176;1176.222;1269.647;1165.046;1.753472;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:35:08;1176;1176.259;1269.647;1165.046;1.762153;33.47801;46.01521;34.92477;98.64005;1.215279
08/17/17;10:35:09;1176;1176.259;1269.502;1165.336;1.756366;33.44907;46.01521;34.89584;98.64005;1.215279
08/17/17;10:35:10;1176;1176.367;1269.647;1165.336;1.741898;33.47801;46.01521;34.92477;98.64005;1.215279
08/17/17;10:35:11;1176;1176.259;1269.647;1165.336;1.762153;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:35:12;1176;1176.367;1269.502;1165.336;1.76794;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:35:13;1176;1176.367;1269.502;1165.046;1.756366;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:35:14;1176;1176.367;1269.502;1165.046;1.756366;33.47801;46.01521;34.89584;98.64005;1.215279
08/17/17;10:35:15;1176;1176.367;1269.502;1165.336;1.762153;33.47801;46.01521;35.61922;98.64005;1.215279
