$Date;$Time;FH11_Z3_TEMP_SP;FH11_Z3_TEMP_PV;FH11_Z2C_TEMP_PV;FH11_Z4_TEMP_PV;FH11_Z3_WG_DMP_POS_PV;FH11_Z3_CLN_VLV_POS_PV;FH11_Z3_MIX_VLV_POS_PV;FH11_Z3_MIX_PRES_PV;FH11_Z4_MIX_PRES_LL;FH11_Z4_MIX_PRES_HL;FH11_PULL
08/17/17;10:35:51;1162;1159.115;1165.48;1155.932;19.59325;20.42824;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:35:52;1162;1159.115;1165.48;1155.932;17.44378;20.13889;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:35:53;1162;1159.115;1165.48;1155.932;17.44378;19.7338;23.20602;0.7291667;0.6;6;46.01521
08/17/17;10:35:54;1162;1159.115;1165.336;1155.932;17.52645;19.7338;23.20602;0.7291667;0.6;6;46.01521
08/17/17;10:35:55;1162;1159.115;1165.48;1155.932;17.44378;19.7338;23.20602;0.7262731;0.6;6;46.01521
08/17/17;10:35:56;1162;1159.115;1165.48;1156.076;17.44378;19.7338;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:35:57;1162;1159.115;1165.48;1155.932;17.52645;19.53125;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:35:58;1162;1159.115;1165.48;1156.076;17.44378;19.53125;23.20602;0.7291667;0.6;6;46.01521
08/17/17;10:35:59;1162;1159.115;1165.48;1155.932;17.44378;19.53125;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:36:00;1162;1159.115;1165.48;1155.932;17.52645;19.53125;23.20602;0.7291667;0.6;6;46.01521
08/17/17;10:36:01;1162;1158.97;1165.336;1156.076;17.44378;19.21296;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:02;1162;1159.115;1165.48;1155.932;17.44378;19.21296;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:03;1162;1159.115;1165.625;1156.076;17.44378;19.21296;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:04;1162;1159.115;1165.48;1156.076;17.44378;19.15509;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:36:05;1162;1158.97;1165.48;1156.076;17.44378;18.83681;23.20602;0.7291667;0.6;6;46.01521
08/17/17;10:36:06;1162;1158.97;1165.48;1156.076;17.44378;18.83681;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:36:07;1162;1158.97;1165.48;1156.076;15.45966;18.34491;23.20602;0.7291667;0.6;6;46.01521
08/17/17;10:36:08;1162;1158.97;1165.48;1156.076;14.96362;17.82407;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:09;1162;1158.97;1165.48;1156.076;14.96362;17.47685;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:36:10;1162;1158.97;1165.48;1156.076;14.96362;17.47685;23.20602;0.7262731;0.6;6;46.01521
08/17/17;10:36:11;1162;1158.97;1165.48;1156.076;14.96362;17.47685;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:12;1162;1158.97;1165.48;1156.076;14.96362;17.47685;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:13;1162;1158.97;1165.625;1156.076;14.96362;17.47685;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:36:14;1162;1158.97;1165.48;1156.076;14.96362;17.47685;23.20602;0.7349537;0.6;6;46.01521
08/17/17;10:36:15;1162;1158.97;1165.48;1156.076;14.96362;17.24537;23.20602;0.7291667;0.6;6;46.01521
08/17/17;10:36:16;1162;1158.97;1165.336;1156.076;14.96362;17.21643;23.20602;0.7378472;0.6;6;46.01521
08/17/17;10:36:17;1162;1158.97;1165.625;1156.221;14.96362;17.21643;23.20602;0.7407407;0.6;6;46.01521
08/17/17;10:36:18;1162;1158.97;1165.48;1156.221;14.96362;17.21643;23.20602;0.7262731;0.6;6;46.01521
