$Date;$Time;FH11_Z2C_TEMP_SP;FH11_Z2C_TEMP_PV;FH11_Z1C_TEMP_PV;FH11_Z3_TEMP_PV;FH11_Z2_TEMP_LT;FH11_Z2_TEMP_RT;FH11_PULL;FH11_Z2L_MIX_VLV_POS_PV;FH11_Z2R_MIX_VLV_POS_PV;FH11_Z2L_MIX_PRES_PV;FH11_Z2R_MIX_PRES_PV;FH11_Z2_CLN_VLV_POS_PV;FH11_Z2_WG_DMP_POS_PV
05/04/18;11:29:44;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.157407;1.377315;5.931713;4.546957
05/04/18;11:29:45;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.163194;1.377315;5.931713;4.546957
05/04/18;11:29:46;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.157407;1.371528;5.931713;4.546957
05/04/18;11:29:47;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.171875;1.388889;5.931713;4.546957
05/04/18;11:29:48;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.163194;1.365741;5.931713;4.546957
05/04/18;11:29:49;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.163194;1.380208;5.931713;4.546957
05/04/18;11:29:50;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.171875;1.377315;5.931713;4.546957
05/04/18;11:29:51;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.154514;1.359954;5.931713;4.546957
05/04/18;11:29:52;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.154514;1.365741;5.931713;4.546957
05/04/18;11:29:53;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.163194;1.388889;5.931713;4.546957
05/04/18;11:29:54;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.171875;1.377315;5.931713;4.62963
05/04/18;11:29:55;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.160301;1.371528;5.931713;4.546957
05/04/18;11:29:56;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.168981;1.377315;5.931713;4.546957
05/04/18;11:29:57;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.154514;1.374421;5.931713;4.546957
05/04/18;11:29:58;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.163194;1.388889;5.931713;4.546957
05/04/18;11:29:59;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.163194;1.385995;5.931713;4.546957
05/04/18;11:30:00;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.160301;1.374421;5.931713;4.546957
05/04/18;11:30:01;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.160301;1.380208;5.931713;4.546957
05/04/18;11:30:02;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.171875;1.388889;5.931713;4.546957
05/04/18;11:30:03;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.163194;1.377315;5.931713;4.546957
05/04/18;11:30:04;1186;1185.735;1186.386;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.163194;1.377315;5.931713;4.546957
05/04/18;11:30:05;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.157407;1.377315;5.931713;4.546957
05/04/18;11:30:06;1186;1185.735;1186.386;1184.144;1186.748;1186.748;44.98286;31.27893;21.32523;1.157407;1.371528;5.931713;4.546957
05/04/18;11:30:07;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.171875;1.388889;5.931713;4.546957
05/04/18;11:30:08;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.160301;1.377315;5.931713;4.546957
05/04/18;11:30:09;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.157407;1.374421;5.931713;4.546957
05/04/18;11:30:10;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.177662;1.388889;5.931713;4.546957
05/04/18;11:30:11;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.157407;1.365741;5.931713;4.546957
05/04/18;11:30:12;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.168981;1.377315;5.931713;4.546957
05/04/18;11:30:13;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.168981;1.385995;5.931713;4.546957
05/04/18;11:30:14;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.148727;1.377315;5.931713;4.546957
05/04/18;11:30:15;1186;1185.735;1186.531;1184.144;1186.748;1187.037;44.98286;31.27893;21.32523;1.174768;1.388889;5.931713;4.546957
