$Date;$Time;FH11_Z3_TEMP_SP;FH11_Z3_TEMP_PV;FH11_Z2C_TEMP_PV;FH11_Z4_TEMP_PV;FH11_Z3_MIX_VLV_POS_PV;FH11_Z3_MIX_PRES_PV;FH11_PULL
05/04/18;11:30:13;1184;1184.144;1185.735;1180.237;29.7743;1.365741;44.98286
05/04/18;11:30:14;1184;1184.144;1185.735;1180.237;29.7743;1.374421;44.98286
05/04/18;11:30:15;1184;1184.144;1185.735;1180.237;29.7743;1.359954;44.98286
05/04/18;11:30:16;1184;1184.144;1185.735;1180.237;29.7743;1.371528;44.98286
05/04/18;11:30:17;1184;1184.144;1185.735;1180.237;29.7743;1.374421;44.98286
05/04/18;11:30:18;1184;1184.144;1185.735;1180.237;29.7743;1.34838;44.98286
05/04/18;11:30:19;1184;1184.144;1185.735;1180.237;29.7743;1.365741;44.98286
05/04/18;11:30:20;1184;1184.144;1185.735;1180.237;29.7743;1.362847;44.98286
05/04/18;11:30:21;1184;1184.144;1185.735;1180.237;29.7743;1.35706;44.98286
05/04/18;11:30:22;1184;1184.144;1185.735;1180.237;29.7743;1.377315;44.98286
05/04/18;11:30:23;1184;1184.144;1185.735;1180.237;29.7743;1.385995;44.98286
05/04/18;11:30:24;1184;1184.144;1185.735;1180.237;29.7743;1.345486;44.98286
05/04/18;11:30:25;1184;1184.144;1185.735;1180.237;29.7743;1.374421;44.98286
05/04/18;11:30:26;1184;1184.144;1185.735;1180.237;29.7743;1.365741;44.98286
05/04/18;11:30:27;1184;1184.144;1185.735;1180.237;29.7743;1.359954;44.98286
05/04/18;11:30:28;1184;1184.144;1185.735;1180.237;29.7743;1.359954;44.98286
05/04/18;11:30:29;1184;1184.144;1185.735;1180.237;29.7743;1.374421;44.98286
05/04/18;11:30:30;1184;1184.144;1185.735;1180.237;29.7743;1.374421;44.98286
05/04/18;11:30:31;1184;1184.144;1185.735;1180.237;29.7743;1.359954;44.98286
